,points_range,deslen,price_range,variety,province
0,85-89,284,30-39,Malbec,Other
1,85-89,245,10-19,Malbec,Mendoza Province
2,90-94,224,20-29,Malbec,Mendoza Province
3,85-89,252,10-19,Chardonnay,Other
4,85-89,290,10-19,Malbec,Mendoza Province
5,85-89,327,10-19,Red Blend,Mendoza Province
6,85-89,273,10-19,Red Blend,Mendoza Province
7,85-89,245,30-39,Cabernet Sauvignon,Mendoza Province
8,90-94,345,100+,Malbec,Mendoza Province
9,90-94,323,30-39,Malbec,Mendoza Province
10,90-94,266,40-49,Malbec,Mendoza Province
11,90-94,319,50-59,Malbec,Mendoza Province
12,85-89,275,30-39,Red Blend,Mendoza Province
13,90-94,352,20-29,Red Blend,Mendoza Province
14,85-89,220,10-19,Torrontés,Other
15,85-89,202,10-19,Torrontés,Other
16,85-89,240,10-19,Malbec,Mendoza Province
17,90-94,254,40-49,Chardonnay,Mendoza Province
18,85-89,229,30-39,Bordeaux-style Red Blend,Mendoza Province
19,85-89,200,20-29,Malbec,Other
20,85-89,232,10-19,Pinot Gris,Mendoza Province
21,85-89,208,10-19,Sauvignon Blanc,Mendoza Province
22,85-89,289,100+,Malbec,Mendoza Province
23,85-89,226,10-19,Malbec,Mendoza Province
24,85-89,346,20-29,Cabernet Sauvignon,Mendoza Province
25,85-89,274,20-29,Malbec,Mendoza Province
26,85-89,198,10-19,Malbec,Mendoza Province
27,85-89,263,10-19,Chardonnay,Mendoza Province
28,85-89,339,10-19,Merlot,Mendoza Province
29,85-89,231,10-19,Cabernet Sauvignon,Mendoza Province
30,85-89,249,40-49,Malbec,Mendoza Province
31,85-89,298,20-29,Bordeaux-style Red Blend,Mendoza Province
32,85-89,234,10-19,Malbec,Mendoza Province
33,85-89,260,10-19,Cabernet Sauvignon,Mendoza Province
34,85-89,191,10-19,Chardonnay,Other
35,85-89,225,10-19,Chardonnay,Mendoza Province
36,85-89,182,10-19,Torrontés,Mendoza Province
37,85-89,155,10-19,Torrontés,Mendoza Province
38,85-89,169,10-19,Rosé,Mendoza Province
39,85-89,191,10-19,Malbec,Mendoza Province
40,85-89,187,10-19,Rosé,Mendoza Province
41,85-89,210,10-19,Viognier,Mendoza Province
42,85-89,157,10-19,Malbec,Mendoza Province
43,85-89,255,20-29,Merlot,Other
44,85-89,161,10-19,White Blend,Other
45,90-94,272,10-19,Malbec,Mendoza Province
46,85-89,176,10-19,Malbec,Mendoza Province
47,85-89,231,10-19,Rosado,Mendoza Province
48,85-89,360,10-19,Cabernet Sauvignon-Merlot,Mendoza Province
49,85-89,309,10-19,Malbec,Mendoza Province
50,80-84,212,10-19,Cabernet Sauvignon,Mendoza Province
51,80-84,224,10-19,Cabernet Sauvignon,Mendoza Province
52,80-84,185,10-19,Moscato,Mendoza Province
53,90-94,289,30-39,Malbec,Mendoza Province
54,80-84,180,10-19,Cabernet Sauvignon,Mendoza Province
55,80-84,166,10-19,Viognier,Other
56,85-89,297,10-19,Cabernet Sauvignon,Mendoza Province
57,85-89,285,20-29,Malbec,Mendoza Province
58,80-84,225,10-19,Malbec,Mendoza Province
59,85-89,221,10-19,Malbec,Mendoza Province
60,85-89,220,10-19,Malbec,Mendoza Province
61,85-89,262,20-29,Malbec,Mendoza Province
62,80-84,201,10-19,Chardonnay,Other
63,90-94,263,30-39,Cabernet Franc,Mendoza Province
64,80-84,170,10-19,Chardonnay,Mendoza Province
65,80-84,259,10-19,Cabernet Sauvignon,Mendoza Province
66,80-84,212,10-19,Chardonnay,Mendoza Province
67,80-84,262,10-19,Tempranillo,Mendoza Province
68,80-84,230,10-19,Sauvignon Blanc,Mendoza Province
69,80-84,199,10-19,Sauvignon Blanc,Mendoza Province
70,85-89,225,10-19,Syrah,Mendoza Province
71,85-89,264,10-19,Sauvignon Blanc,Mendoza Province
72,85-89,181,30-39,Malbec,Mendoza Province
73,85-89,196,10-19,Cabernet Sauvignon,Mendoza Province
74,85-89,252,20-29,Malbec,Mendoza Province
75,85-89,324,20-29,Malbec,Mendoza Province
76,85-89,322,20-29,Malbec,Mendoza Province
77,85-89,230,10-19,Malbec,Mendoza Province
78,85-89,190,30-39,Cabernet Blend,Mendoza Province
79,85-89,211,20-29,Malbec,Mendoza Province
80,85-89,311,10-19,Red Blend,Mendoza Province
81,85-89,306,40-49,Malbec,Mendoza Province
82,80-84,177,10-19,Chardonnay,Other
83,80-84,196,10-19,Cabernet Sauvignon,Mendoza Province
84,85-89,229,10-19,Cabernet Sauvignon,Mendoza Province
85,85-89,261,20-29,Malbec,Mendoza Province
86,85-89,197,20-29,Chardonnay,Mendoza Province
87,85-89,257,10-19,Bonarda,Mendoza Province
88,85-89,250,20-29,Malbec,Other
89,90-94,334,60-79,Bordeaux-style Red Blend,Mendoza Province
90,90-94,283,40-49,Bordeaux-style Red Blend,Mendoza Province
91,90-94,324,20-29,Red Blend,Mendoza Province
92,85-89,221,10-19,Red Blend,Mendoza Province
93,85-89,193,20-29,Malbec,Mendoza Province
94,85-89,272,30-39,Chardonnay,Mendoza Province
95,80-84,199,<10,Red Blend,Mendoza Province
96,80-84,209,10-19,Red Blend,Mendoza Province
97,80-84,278,20-29,Malbec,Mendoza Province
98,80-84,183,10-19,Rosé,Mendoza Province
99,80-84,209,10-19,Malbec,Mendoza Province
100,90-94,299,10-19,Bonarda,Mendoza Province
