,points_range,deslen,price_range,variety,province
0,85-89,188,10-19,Chardonnay,South Australia
1,85-89,211,20-29,Rosé,South Australia
2,90-94,230,40-49,Shiraz-Cabernet Sauvignon,South Australia
3,85-89,277,30-39,Cabernet Sauvignon,South Australia
4,85-89,195,20-29,Grenache,South Australia
5,90-94,419,60-79,Shiraz,South Australia
6,100+,397,100+,Muscat,Victoria
7,95-99,234,100+,Muscadelle,Victoria
8,95-99,217,100+,Muscat,Victoria
9,95-99,260,100+,Shiraz-Viognier,South Australia
10,95-99,256,80-99,Shiraz,Victoria
11,95-99,234,100+,Shiraz-Viognier,South Australia
12,95-99,305,60-79,Shiraz,South Australia
13,90-94,284,30-39,Shiraz,South Australia
14,90-94,320,100+,Shiraz,South Australia
15,85-89,152,<10,Pinot Grigio,Australia Other
16,90-94,253,60-79,Chardonnay,Victoria
17,90-94,203,20-29,Red Blend,South Australia
18,90-94,218,20-29,Rosé,South Australia
19,90-94,207,10-19,Shiraz,Australia Other
20,85-89,257,10-19,Shiraz,South Australia
21,90-94,291,100+,Shiraz,South Australia
22,85-89,319,10-19,Shiraz,South Australia
23,85-89,250,10-19,Sauvignon Blanc,South Australia
24,85-89,170,20-29,Marsanne-Roussanne,Victoria
25,85-89,157,10-19,Pinot Grigio,South Australia
26,85-89,225,10-19,Shiraz-Cabernet Sauvignon,South Australia
27,85-89,147,10-19,Sauvignon Blanc-Semillon,Western Australia
28,85-89,196,10-19,Chardonnay,Australia Other
29,85-89,268,30-39,Shiraz,South Australia
30,90-94,227,50-59,Shiraz,South Australia
31,85-89,332,20-29,Cabernet Sauvignon,South Australia
32,85-89,251,20-29,Cabernet Sauvignon,South Australia
33,85-89,303,10-19,Cabernet Sauvignon,South Australia
34,85-89,185,30-39,Chardonnay,Western Australia
35,85-89,300,50-59,Shiraz,South Australia
36,80-84,160,20-29,Chardonnay,South Australia
37,90-94,392,100+,Shiraz-Viognier,South Australia
38,90-94,297,30-39,Riesling,Western Australia
39,90-94,258,20-29,Shiraz,Western Australia
40,90-94,292,20-29,Shiraz,Western Australia
41,90-94,256,30-39,Cabernet Sauvignon,Western Australia
42,90-94,297,20-29,Cabernet Sauvignon,Western Australia
43,90-94,205,20-29,Shiraz,South Australia
44,90-94,230,20-29,Sparkling Blend,Tasmania
45,85-89,259,10-19,Chardonnay,South Australia
46,85-89,256,20-29,Cabernet Merlot,Western Australia
47,90-94,220,50-59,Shiraz,South Australia
48,90-94,180,20-29,Shiraz,South Australia
49,90-94,200,20-29,Shiraz,South Australia
50,90-94,287,100+,Shiraz-Viognier,South Australia
51,85-89,244,10-19,Chardonnay,Victoria
52,85-89,315,20-29,Shiraz,South Australia
53,85-89,236,10-19,Red Blend,South Australia
54,85-89,222,20-29,Shiraz,South Australia
55,90-94,248,10-19,Riesling,South Australia
56,85-89,187,10-19,White Blend,South Australia
57,85-89,266,20-29,Pinot Noir,South Australia
58,90-94,265,60-79,Cabernet Sauvignon,South Australia
59,90-94,322,40-49,Riesling,Western Australia
60,90-94,308,50-59,Shiraz,South Australia
61,85-89,171,10-19,Sparkling Blend,Australia Other
62,85-89,214,10-19,Sparkling Blend,Australia Other
63,85-89,220,20-29,Shiraz,South Australia
64,80-84,132,10-19,Pinot Noir,Australia Other
65,80-84,202,10-19,Sparkling Blend,Australia Other
66,80-84,121,<10,Shiraz,Australia Other
67,85-89,215,10-19,Riesling,South Australia
68,90-94,185,20-29,Grenache,South Australia
69,85-89,282,60-79,Pinot Noir,Victoria
70,85-89,230,10-19,Sauvignon Blanc-Semillon,Western Australia
71,85-89,265,40-49,Grenache,South Australia
72,85-89,193,10-19,Grenache,South Australia
73,85-89,339,40-49,Cabernet Sauvignon,South Australia
74,85-89,303,20-29,Sauvignon Blanc,Australia Other
75,90-94,363,20-29,Sémillon,South Australia
76,85-89,230,10-19,Chardonnay,Australia Other
77,90-94,397,30-39,Shiraz,South Australia
78,90-94,331,40-49,Shiraz,South Australia
79,90-94,185,10-19,Chardonnay,Victoria
80,85-89,256,30-39,Riesling,South Australia
81,85-89,307,30-39,Shiraz,Victoria
82,80-84,262,10-19,Pinot Noir,Victoria
83,80-84,269,40-49,Pinot Noir,Victoria
